id,symbol,side,entry_rsi,volume_ratio,entry_time,exit_time,exit_reason,pnl_pct,pnl_amount,source,created_at,entry_price,exit_price,quantity,hold_minutes,entry_hour,day_of_week
160,INFY,SHORT,71.0765006053245,2.2608044785823385,2026-05-08T14:30:00+05:30,2026-05-08T15:15:00+05:30,EOD square-off,0.2368265245707481,33.599999999999454,backtest,2026-06-18 15:16:31,,,,,,
122,TCS,LONG,28.10648921347841,1.5519481863098297,2026-05-08T10:15:00+05:30,2026-05-08T14:30:00+05:30,RSI mid-line exit,0.40674270379066657,58.19999999999891,backtest,2026-06-18 15:16:29,,,,,,
91,SBIN,LONG,20.341624509344015,5.519803936527966,2026-05-08T13:45:00+05:30,2026-05-08T14:00:00+05:30,stop loss (-2.96%),-2.9562737642585573,-435.4000000000003,backtest,2026-06-18 15:16:26,,,,,,
90,SBIN,SHORT,74.81256433717145,1.9335027947953984,2026-05-07T09:15:00+05:30,2026-05-07T15:15:00+05:30,EOD square-off,0.31013408738482745,44.19999999999823,backtest,2026-06-18 15:16:26,,,,,,
192,HDFCBANK,SHORT,71.84163824093407,1.7704907032452444,2026-05-07T09:15:00+05:30,2026-05-07T15:15:00+05:30,EOD square-off,-0.22045855379188717,-31.5,backtest,2026-06-18 15:16:34,,,,,,
89,SBIN,SHORT,72.21358872396655,4.357199799191432,2026-05-06T14:15:00+05:30,2026-05-06T15:15:00+05:30,EOD square-off,-1.2250161186331356,-172.8999999999994,backtest,2026-06-18 15:16:26,,,,,,
191,HDFCBANK,SHORT,80.48669615476288,4.120775422380487,2026-05-06T14:15:00+05:30,2026-05-06T15:15:00+05:30,EOD square-off,-0.5050505050505051,-72.0,backtest,2026-06-18 15:16:34,,,,,,
159,INFY,SHORT,72.27645600074345,2.178574849438627,2026-05-06T09:15:00+05:30,2026-05-06T10:30:00+05:30,RSI mid-line exit,1.1691479518883077,166.8000000000011,backtest,2026-06-18 15:16:31,,,,,,
121,TCS,LONG,29.982028244934952,1.3244237437539725,2026-05-05T13:15:00+05:30,2026-05-05T15:15:00+05:30,EOD square-off,0.4464654816039761,64.80000000000109,backtest,2026-06-18 15:16:28,,,,,,
88,SBIN,LONG,26.84143808634873,1.404066443122129,2026-05-05T11:00:00+05:30,2026-05-05T13:00:00+05:30,RSI mid-line exit,0.8712121212121254,128.80000000000064,backtest,2026-06-18 15:16:26,,,,,,
61,RELIANCE,SHORT,72.70269036260213,1.658780158866429,2026-05-05T09:15:00+05:30,2026-05-05T10:30:00+05:30,RSI mid-line exit,0.8452624403544711,124.00000000000091,backtest,2026-06-18 15:16:23,,,,,,
60,RELIANCE,SHORT,71.4573619751634,1.4725367884126035,2026-05-04T12:30:00+05:30,2026-05-04T15:15:00+05:30,EOD square-off,-0.907840440165065,-132.00000000000045,backtest,2026-06-18 15:16:23,,,,,,
59,RELIANCE,SHORT,70.95510457913561,1.229469442967991,2026-04-30T14:30:00+05:30,2026-04-30T15:15:00+05:30,EOD square-off,-0.1394700139470014,-20.0,backtest,2026-06-18 15:16:23,,,,,,
87,SBIN,LONG,24.41941457334285,1.791549834422127,2026-04-30T09:15:00+05:30,2026-04-30T15:15:00+05:30,EOD square-off,-0.1350847773430264,-18.85000000000059,backtest,2026-06-18 15:16:26,,,,,,
158,INFY,SHORT,70.02609424062922,1.40165824998114,2026-04-30T13:30:00+05:30,2026-04-30T15:15:00+05:30,EOD square-off,0.39585614419271004,56.400000000000546,backtest,2026-06-18 15:16:31,,,,,,
190,HDFCBANK,LONG,17.16932849258258,3.2433722939995233,2026-04-30T09:15:00+05:30,2026-04-30T13:00:00+05:30,RSI mid-line exit,1.3621480026195125,197.59999999999957,backtest,2026-06-18 15:16:34,,,,,,
58,RELIANCE,SHORT,71.40268573434791,2.442503036307423,2026-04-29T15:00:00+05:30,2026-04-29T15:15:00+05:30,EOD square-off,-0.3438355203143703,-49.00000000000091,backtest,2026-06-18 15:16:23,,,,,,
57,RELIANCE,SHORT,70.75140838837032,1.3183821775297404,2026-04-29T09:15:00+05:30,2026-04-29T10:15:00+05:30,stop loss (-1.71%),-1.7130620985010707,-240.0,backtest,2026-06-18 15:16:23,,,,,,
56,RELIANCE,SHORT,71.01208946545002,1.0117779185402787,2026-04-28T09:30:00+05:30,2026-04-28T14:30:00+05:30,stop loss (-1.68%),-1.675078633603986,-229.0000000000009,backtest,2026-06-18 15:16:23,,,,,,
55,RELIANCE,SHORT,71.67831737618877,1.0893357239471562,2026-04-27T13:45:00+05:30,2026-04-27T15:15:00+05:30,EOD square-off,-1.0398996976178116,-155.099999999999,backtest,2026-06-18 15:16:23,,,,,,
